Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-04-12,21660.279296875,21719.4296875,21780.84274677487,21591.390625,21529.415767242255,0,-0.0012366943013627507,-0.0012366943013627507
2018-04-13,21778.740234375,21917.349609375,21915.29619160962,21746.689453125,21693.569026719928,-1,0.00546904016685934,0.0
2018-04-16,21835.529296875,21879.689453125,21956.43393866526,21775.609375,21734.1322166686,0,0.002607545794148569,-0.002607545794148569
2018-04-17,21847.58984375,21889.890625,21905.824316669237,21772.419921875,21679.18073559102,0,0.0005523359068162481,0.0
2018-04-18,22158.19921875,22194.109375,22029.54924634978,21914.9609375,21820.948966570788,-1,0.01421710024865086,0.0
2018-04-19,22191.1796875,22360.650390625,22300.84926531081,22176.859375,22133.29850201312,-1,0.0014884092531350923,-0.0014884092531350923
2018-04-20,22162.240234375,22261.349609375,22240.62694360602,22076.630859375,22040.621812990998,-1,-0.0013040971022059145,0.0013040971022059145
2018-04-23,22088.0390625,22204.859375,22243.109814096813,22065.51953125,22047.288043598055,0,-0.0033480898632218814,0.0033480898632218814
2018-04-24,22278.119140625,22304.689453125,22332.239290603953,22149.58984375,22141.36983403267,0,0.008605566007337861,0.0
2018-04-25,22215.3203125,22228.779296875,22190.41450523312,22080.759765625,21991.871793655242,-1,-0.0028188568221849675,-0.0
2018-04-26,22319.609375,22381.66015625,22357.740908508706,22265.19921875,22178.93747384539,-1,0.004694465847576268,-0.004694465847576268
2018-04-27,22467.869140625,22495.560546875,22552.392400174806,22357.529296875,22387.272728632073,1,0.006642578870177829,-0.006642578870177829
2018-05-01,22508.029296875,22519.44921875,22531.287448430514,22411.4296875,22359.744624864103,0,0.0017874483778874684,0.0017874483778874684
2018-05-02,22472.779296875,22568.189453125,22639.832778953925,22426.55078125,22482.842600863038,1,-0.0015661077891387931,-0.0
2018-05-07,22467.16015625,22513.48046875,22599.05191177158,22350.91015625,22428.161854623224,1,-0.0002500420865069186,-0.0002500420865069186
2018-05-08,22508.689453125,22566.6796875,22519.748547912015,22423.23046875,22341.38106150053,-1,0.0018484444222670593,0.0018484444222670593
2018-05-09,22408.880859375,22478.640625,22530.144898271457,22364.75,22356.929869539777,0,-0.004434225011538562,0.004434225011538562
2018-05-10,22497.1796875,22530.640625,22572.07755942794,22418.75,22394.42807580822,0,0.003940349751471839,0.0
2018-05-11,22758.48046875,22769.16015625,22655.716339371585,22545.470703125,22488.494988033915,-1,0.011614823941473285,0.0
2018-05-14,22865.859375,22894.759765625,22752.427664592473,22683.640625,22609.11665961809,-1,0.004718193132333459,-0.004718193132333459
2018-05-15,22818.01953125,22912.060546875,22936.285360890357,22805.720703125,22808.012444449585,1,-0.0020921953102844837,0.0020921953102844837
2018-05-16,22717.23046875,22796.140625,22797.1293406031,22695.83984375,22632.78113809988,0,-0.004417081962874381,-0.004417081962874381
2018-05-17,22838.369140625,22887.029296875,22893.857614153167,22799.16015625,22742.493736969962,0,0.005332457758952636,0.0
2018-05-18,22930.359375,22954.189453125,22976.567234459097,22867.30078125,22830.097957332324,0,0.004027881054403659,0.0
2018-05-21,23002.369140625,23050.390625,23002.260195889507,22935.310546875,22855.039404155796,-1,0.003140367948332612,0.0
